"Subject" "Activity_Label" "Variable" "Mean_of_Variable"
5 "WALKING" "tBodyAcc-mean()-Y" -0.0154833455336192
6 "WALKING" "tBodyAcc-mean()-Y" -0.0163911123936864
6 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0206949591117978
7 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0187904887668182
8 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0181894974688612
11 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0191272531933228
14 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0150740054405063
14 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0166371300659426
15 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.016464484771311
16 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0158567888309016
17 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0138932613754167
17 "SITTING" "tBodyAcc-mean()-Y" -0.0180888559772812
19 "SITTING" "tBodyAcc-mean()-Y" -0.0182031515710306
21 "SITTING" "tBodyAcc-mean()-Y" -0.0176664578561765
22 "SITTING" "tBodyAcc-mean()-Y" -0.0168623073762273
22 "STANDING" "tBodyAcc-mean()-Y" -0.016771104312122
23 "STANDING" "tBodyAcc-mean()-Y" -0.019589258786828
25 "STANDING" "tBodyAcc-mean()-Y" -0.0193221769314914
26 "STANDING" "tBodyAcc-mean()-Y" -0.0161687277463495
27 "STANDING" "tBodyAcc-mean()-Y" -0.0162554117217949
27 "LAYING" "tBodyAcc-mean()-Y" -0.0169386590334393
28 "LAYING" "tBodyAcc-mean()-Y" -0.0191721442063089
29 "LAYING" "tBodyAcc-mean()-Y" -0.018471953048314
30 "LAYING" "tBodyAcc-mean()-Y" -0.0175856077340209
2 "WALKING" "tBodyAcc-mean()-Y" -0.0191323183174834
4 "WALKING" "tBodyAcc-mean()-Y" -0.0133496817746907
4 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0171085099442602
9 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0209466555412396
10 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0137410699333333
10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0188857189162821
12 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0182299075608413
12 "SITTING" "tBodyAcc-mean()-Y" -0.0184861388459702
13 "SITTING" "tBodyAcc-mean()-Y" -0.0176504796070948
18 "SITTING" "tBodyAcc-mean()-Y" -0.01729741093
18 "STANDING" "tBodyAcc-mean()-Y" -0.0172818741561907
20 "STANDING" "tBodyAcc-mean()-Y" -0.0192867074389394
20 "LAYING" "tBodyAcc-mean()-Y" -0.0154394352991026
24 "LAYING" "tBodyAcc-mean()-Y" -0.0176822460103884
1 "WALKING" "tBodyAcc-mean()-Z" -0.10784573454611
3 "WALKING" "tBodyAcc-mean()-Z" -0.106492632429097
5 "WALKING" "tBodyAcc-mean()-Z" -0.105661736816887
6 "WALKING" "tBodyAcc-mean()-Z" -0.117900692084746
6 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.110940029325843
7 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.112492375388312
8 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.106809623683986
11 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.108941761642405
14 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.105264366677722
14 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" -0.0996007059877049
15 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" -0.112563587594512
16 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" -0.107263924445355
17 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" -0.109786077604167
17 "SITTING" "tBodyAcc-mean()-Z" -0.109111919458969
19 "SITTING" "tBodyAcc-mean()-Z" -0.118277180099383
21 "SITTING" "tBodyAcc-mean()-Z" -0.10877848058848
22 "SITTING" "tBodyAcc-mean()-Z" -0.108558951083333
22 "STANDING" "tBodyAcc-mean()-Z" -0.108849744982114
23 "STANDING" "tBodyAcc-mean()-Z" -0.109093982385242
25 "STANDING" "tBodyAcc-mean()-Z" -0.10962903098044
26 "STANDING" "tBodyAcc-mean()-Z" -0.107637894928571
27 "STANDING" "tBodyAcc-mean()-Z" -0.105403810015385
27 "LAYING" "tBodyAcc-mean()-Z" -0.112273368370134
28 "LAYING" "tBodyAcc-mean()-Z" -0.109710873104188
29 "LAYING" "tBodyAcc-mean()-Z" -0.108675612269477
30 "LAYING" "tBodyAcc-mean()-Z" -0.10589355727859
2 "WALKING" "tBodyAcc-mean()-Z" -0.115649958175497
4 "WALKING" "tBodyAcc-mean()-Z" -0.105916135927835
4 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.110053359325203
9 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.101233826213889
10 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.1082356298
10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" -0.112087661002564
12 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" -0.105735506451613
12 "SITTING" "tBodyAcc-mean()-Z" -0.107917262447761
13 "SITTING" "tBodyAcc-mean()-Z" -0.109135285550765
18 "SITTING" "tBodyAcc-mean()-Z" -0.110021546
18 "STANDING" "tBodyAcc-mean()-Z" -0.107940757511976
20 "STANDING" "tBodyAcc-mean()-Z" -0.111651090326263
20 "LAYING" "tBodyAcc-mean()-Z" -0.103432062417949
24 "LAYING" "tBodyAcc-mean()-Z" -0.107914503687664
1 "WALKING" "tBodyAcc-std()-X" -0.545795331328326
3 "WALKING" "tBodyAcc-std()-X" -0.623413602046921
5 "WALKING" "tBodyAcc-std()-X" -0.507691011391722
6 "WALKING" "tBodyAcc-std()-X" -0.647669170333475
6 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.127000600558652
7 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.577518324748052
8 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.582958863017438
11 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.58947649779557
14 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.975494321518987
14 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-X" -0.493875900753279
15 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-X" -0.556541173089329
16 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-X" -0.668161498298634
17 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-X" -0.992370654583333
17 "SITTING" "tBodyAcc-std()-X" -0.550867932263844
19 "SITTING" "tBodyAcc-std()-X" -0.574658922919194
21 "SITTING" "tBodyAcc-std()-X" -0.672323867377451
22 "SITTING" "tBodyAcc-std()-X" -0.631563159137374
22 "STANDING" "tBodyAcc-std()-X" -0.408498997088862
23 "STANDING" "tBodyAcc-std()-X" -0.622594039757258
25 "STANDING" "tBodyAcc-std()-X" -0.716264537547677
26 "STANDING" "tBodyAcc-std()-X" -0.623101031168367
27 "STANDING" "tBodyAcc-std()-X" -0.990276643846154
27 "LAYING" "tBodyAcc-std()-X" -0.574783321550336
28 "LAYING" "tBodyAcc-std()-X" -0.649040391307853
29 "LAYING" "tBodyAcc-std()-X" -0.574295395364826
30 "LAYING" "tBodyAcc-std()-X" -0.615890785389034
2 "WALKING" "tBodyAcc-std()-X" -0.605586497159271
4 "WALKING" "tBodyAcc-std()-X" -0.68386446609433
4 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.481157815330894
9 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.555656544538194
10 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.976914667166667
10 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-X" -0.425216183982906
12 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-X" -0.638208440290323
12 "SITTING" "tBodyAcc-std()-X" -0.508665196767164
13 "SITTING" "tBodyAcc-std()-X" -0.624844460199083
18 "SITTING" "tBodyAcc-std()-X" -0.991705206333333
18 "STANDING" "tBodyAcc-std()-X" -0.667932305209581
20 "STANDING" "tBodyAcc-std()-X" -0.650788909160606
20 "LAYING" "tBodyAcc-std()-X" -0.546535422961538
24 "LAYING" "tBodyAcc-std()-X" -0.675459176298425
1 "WALKING" "tBodyAcc-std()-Y" -0.367716218227378
3 "WALKING" "tBodyAcc-std()-Y" -0.480015920697654
5 "WALKING" "tBodyAcc-std()-Y" -0.402724906078146
6 "WALKING" "tBodyAcc-std()-Y" -0.553142396078856
6 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" 0.121465311011236
7 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.546403365345779
8 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.349383732046263
11 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.490379346996835
14 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.944189643417722
14 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Y" -0.190356784144426
15 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Y" -0.481679537956006
16 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Y" -0.649947067892896
17 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Y" -0.965205728333333
17 "SITTING" "tBodyAcc-std()-Y" -0.507275258134
19 "SITTING" "tBodyAcc-std()-Y" -0.507035084992639
21 "SITTING" "tBodyAcc-std()-Y" -0.565585190336299
22 "SITTING" "tBodyAcc-std()-Y" -0.593370593093586
22 "STANDING" "tBodyAcc-std()-Y" -0.326700060089431
23 "STANDING" "tBodyAcc-std()-Y" -0.532078546615699
25 "STANDING" "tBodyAcc-std()-Y" -0.531421035602689
26 "STANDING" "tBodyAcc-std()-Y" -0.585967142418112
27 "STANDING" "tBodyAcc-std()-Y" -0.972196177948718
27 "LAYING" "tBodyAcc-std()-Y" -0.541012892132886
28 "LAYING" "tBodyAcc-std()-Y" -0.573651895933508
29 "LAYING" "tBodyAcc-std()-Y" -0.598400275636657
30 "LAYING" "tBodyAcc-std()-Y" -0.519047387875457
2 "WALKING" "tBodyAcc-std()-Y" -0.428962986589404
4 "WALKING" "tBodyAcc-std()-Y" -0.589609330539691
4 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.384255322007236
9 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.5758878952125
10 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.929141091633333
10 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Y" -0.386704550776068
12 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Y" -0.608983265026882
12 "SITTING" "tBodyAcc-std()-Y" -0.401357613464179
13 "SITTING" "tBodyAcc-std()-Y" -0.448816097853364
18 "SITTING" "tBodyAcc-std()-Y" -0.939095257
18 "STANDING" "tBodyAcc-std()-Y" -0.599095553763473
20 "STANDING" "tBodyAcc-std()-Y" -0.456259753985354
20 "LAYING" "tBodyAcc-std()-Y" -0.259011300096154
24 "LAYING" "tBodyAcc-std()-Y" -0.582490655185302
1 "WALKING" "tBodyAcc-std()-Z" -0.502645746562824
3 "WALKING" "tBodyAcc-std()-Z" -0.653625579293255
5 "WALKING" "tBodyAcc-std()-Z" -0.646443640175497
6 "WALKING" "tBodyAcc-std()-Z" -0.789845077542373
6 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.361381608884045
7 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.456473642256981
8 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.499472687913167
11 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.665324314227848
14 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.943891439113924
14 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Z" -0.0829789883191394
15 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Z" -0.705706623868902
16 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Z" -0.603819902386066
17 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Z" -0.976352307916667
17 "SITTING" "tBodyAcc-std()-Z" -0.613217322774375
19 "SITTING" "tBodyAcc-std()-Z" -0.649184726556944
21 "SITTING" "tBodyAcc-std()-Z" -0.669621813176471
22 "SITTING" "tBodyAcc-std()-Z" -0.719165341207576
22 "STANDING" "tBodyAcc-std()-Z" -0.551943490507317
23 "STANDING" "tBodyAcc-std()-Z" -0.450557203409946
25 "STANDING" "tBodyAcc-std()-Z" -0.64709556105868
26 "STANDING" "tBodyAcc-std()-Z" -0.70498062744898
27 "STANDING" "tBodyAcc-std()-Z" -0.969969877692308
27 "LAYING" "tBodyAcc-std()-Z" -0.60815876533557
28 "LAYING" "tBodyAcc-std()-Z" -0.685821415026178
29 "LAYING" "tBodyAcc-std()-Z" -0.606461283926453
30 "LAYING" "tBodyAcc-std()-Z" -0.522643273772115
2 "WALKING" "tBodyAcc-std()-Z" -0.589360062210596
4 "WALKING" "tBodyAcc-std()-Z" -0.741959040257732
4 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.658285719430894
9 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.506111776081806
10 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.972264913
10 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Z" -0.523113372540812
12 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Z" -0.682615496811828
12 "SITTING" "tBodyAcc-std()-Z" -0.722443639029851
13 "SITTING" "tBodyAcc-std()-Z" -0.587230562129052
18 "SITTING" "tBodyAcc-std()-Z" -0.950753017666667
18 "STANDING" "tBodyAcc-std()-Z" -0.679216670329341
20 "STANDING" "tBodyAcc-std()-Z" -0.630893001863636
20 "LAYING" "tBodyAcc-std()-Z" -0.639730168647436
24 "LAYING" "tBodyAcc-std()-Z" -0.636497458900262
1 "WALKING" "tGravityAcc-mean()-X" 0.744867411573487
3 "WALKING" "tGravityAcc-mean()-X" 0.707814353343108
5 "WALKING" "tGravityAcc-mean()-X" 0.698153719072848
6 "WALKING" "tGravityAcc-mean()-X" 0.670506153601695
6 "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.736951892247191
7 "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.681289120844156
8 "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.647498175409253
11 "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.730526184936709
14 "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.599098975405063
14 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" 0.695710723688525
15 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" 0.688872511512195
16 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" 0.700906130308743
17 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" 0.901097859791667
17 "SITTING" "tGravityAcc-mean()-X" 0.668613344125
19 "SITTING" "tGravityAcc-mean()-X" 0.475323016
21 "SITTING" "tGravityAcc-mean()-X" 0.645775957808823
22 "SITTING" "tGravityAcc-mean()-X" 0.675242930959596
22 "STANDING" "tGravityAcc-mean()-X" 0.503385126178862
23 "STANDING" "tGravityAcc-mean()-X" 0.662324737580645
25 "STANDING" "tGravityAcc-mean()-X" 0.672386622127139
26 "STANDING" "tGravityAcc-mean()-X" 0.615123534668367
27 "STANDING" "tGravityAcc-mean()-X" 0.788037331794872
27 "LAYING" "tGravityAcc-mean()-X" 0.585139591107383
28 "LAYING" "tGravityAcc-mean()-X" 0.62376789513089
29 "LAYING" "tGravityAcc-mean()-X" 0.683067625610465
30 "LAYING" "tGravityAcc-mean()-X" 0.696858200678851
2 "WALKING" "tGravityAcc-mean()-X" 0.660782866688742
4 "WALKING" "tGravityAcc-mean()-X" 0.731456509896907
4 "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.667377493902439
9 "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.670845545555556
10 "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.582637512166667
10 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" 0.65835911957265
12 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" 0.749117763666667
12 "SITTING" "tGravityAcc-mean()-X" 0.629964778955224
13 "SITTING" "tGravityAcc-mean()-X" 0.709996516908257
18 "SITTING" "tGravityAcc-mean()-X" 0.962581161666667
18 "STANDING" "tGravityAcc-mean()-X" 0.694792777095808
20 "STANDING" "tGravityAcc-mean()-X" 0.657243899191919
20 "LAYING" "tGravityAcc-mean()-X" 0.590974958467949
24 "LAYING" "tGravityAcc-mean()-X" 0.69498126808399
1 "WALKING" "tGravityAcc-mean()-Y" -0.0825562579855908
3 "WALKING" "tGravityAcc-mean()-Y" -0.0260590480328739
5 "WALKING" "tGravityAcc-mean()-Y" 0.112313109736755
6 "WALKING" "tGravityAcc-mean()-Y" 0.0612321366461864
6 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" -0.103190808202247
7 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" -0.0420221452496753
8 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" 0.0303211113118861
11 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" 0.0527387028613924
14 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" 0.0546109842746835
14 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" -0.165548427598361
15 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" 0.102660491875
16 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" -0.0605235993797814
17 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" -0.17504772675
17 "SITTING" "tGravityAcc-mean()-Y" 0.01046225616875
19 "SITTING" "tGravityAcc-mean()-Y" 0.0964052626666667
21 "SITTING" "tGravityAcc-mean()-Y" -0.0750963071446078
22 "SITTING" "tGravityAcc-mean()-Y" 0.0235808363131313
22 "STANDING" "tGravityAcc-mean()-Y" 0.0442736759186992
23 "STANDING" "tGravityAcc-mean()-Y" 0.0146209197354839
25 "STANDING" "tGravityAcc-mean()-Y" 0.0471601427530562
26 "STANDING" "tGravityAcc-mean()-Y" 0.10870478277551
27 "STANDING" "tGravityAcc-mean()-Y" 0.0657218505
27 "LAYING" "tGravityAcc-mean()-Y" 0.0234793061308725
28 "LAYING" "tGravityAcc-mean()-Y" -0.14757775521466
29 "LAYING" "tGravityAcc-mean()-Y" 0.115489757911628
30 "LAYING" "tGravityAcc-mean()-Y" 0.0512698188974987
2 "WALKING" "tGravityAcc-mean()-Y" -0.147219886910411
4 "WALKING" "tGravityAcc-mean()-Y" 0.072347989306416
4 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" 0.176064219895122
9 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" -0.0467446999509028
10 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" 0.2814715215
10 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" -0.165177771367521
12 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" -0.0295853747510753
12 "SITTING" "tGravityAcc-mean()-Y" 0.112652596558955
13 "SITTING" "tGravityAcc-mean()-Y" -0.0420858101162079
18 "SITTING" "tGravityAcc-mean()-Y" -0.180018835666667
18 "STANDING" "tGravityAcc-mean()-Y" -0.0010301843263473
20 "STANDING" "tGravityAcc-mean()-Y" -0.0686181655555556
20 "LAYING" "tGravityAcc-mean()-Y" 0.00243648291666667
24 "LAYING" "tGravityAcc-mean()-Y" 0.0729509702152231
1 "WALKING" "tGravityAcc-mean()-Z" 0.072339870389049
3 "WALKING" "tGravityAcc-mean()-Z" 0.0480937904190616
5 "WALKING" "tGravityAcc-mean()-Z" 0.0921607197449904
6 "WALKING" "tGravityAcc-mean()-Z" 0.0584702778558475
6 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" 0.0184833048368539
7 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" 0.0342160711928604
8 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" 0.0836542406807936
11 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" 0.140209861246835
14 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" 0.130135867455696
14 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" -0.255499121995902
15 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" 0.0372897701757012
16 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" 0.0402075536234973
17 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" -0.284880580416667
17 "SITTING" "tGravityAcc-mean()-Z" 0.0223722077328125
19 "SITTING" "tGravityAcc-mean()-Z" 0.233011401195083
21 "SITTING" "tGravityAcc-mean()-Z" 0.0321851774362745
22 "SITTING" "tGravityAcc-mean()-Z" 0.236637160405404
22 "STANDING" "tGravityAcc-mean()-Z" 0.234681679495935
23 "STANDING" "tGravityAcc-mean()-Z" 0.0518662466372043
25 "STANDING" "tGravityAcc-mean()-Z" 0.239226040930391
26 "STANDING" "tGravityAcc-mean()-Z" 0.234107010472449
27 "STANDING" "tGravityAcc-mean()-Z" 0.219701605211973
27 "LAYING" "tGravityAcc-mean()-Z" 0.120613102375168
28 "LAYING" "tGravityAcc-mean()-Z" -0.0469931021049738
29 "LAYING" "tGravityAcc-mean()-Z" 0.208215370043721
30 "LAYING" "tGravityAcc-mean()-Z" 0.184343178348037
2 "WALKING" "tGravityAcc-mean()-Z" 0.134865335090728
4 "WALKING" "tGravityAcc-mean()-Z" 0.193993433768041
4 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" 0.117030634772358
9 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" 0.104353653032743
10 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" 0.1506301434
10 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" 0.0307366662204145
12 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" 0.0924517595346236
12 "SITTING" "tGravityAcc-mean()-Z" -0.0494520137037313
13 "SITTING" "tGravityAcc-mean()-Z" 0.0443010536786239
18 "SITTING" "tGravityAcc-mean()-Z" 0.0783976787
18 "STANDING" "tGravityAcc-mean()-Z" 0.0910314168113772
20 "STANDING" "tGravityAcc-mean()-Z" 0.10679036740404
20 "LAYING" "tGravityAcc-mean()-Z" 0.107789718651859
24 "LAYING" "tGravityAcc-mean()-Z" 0.0623227714146982
1 "WALKING" "tGravityAcc-std()-X" -0.9598594359366
3 "WALKING" "tGravityAcc-std()-X" -0.966457565630499
5 "WALKING" "tGravityAcc-std()-X" -0.964629108807947
6 "WALKING" "tGravityAcc-std()-X" -0.95651898940678
6 "WALKING_UPSTAIRS" "tGravityAcc-std()-X" -0.965208976741573
7 "WALKING_UPSTAIRS" "tGravityAcc-std()-X" -0.956538178587662
8 "WALKING_UPSTAIRS" "tGravityAcc-std()-X" -0.954256666035587
11 "WALKING_UPSTAIRS" "tGravityAcc-std()-X" -0.975394457689873
14 "WALKING_UPSTAIRS" "tGravityAcc-std()-X" -0.963666510379747
14 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-X" -0.933986522704918
15 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-X" -0.968733398628049
16 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-X" -0.971156432131147
17 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-X" -0.986674910208333
17 "SITTING" "tGravityAcc-std()-X" -0.9695361643125
19 "SITTING" "tGravityAcc-std()-X" -0.958290447861111
21 "SITTING" "tGravityAcc-std()-X" -0.965586634460784
22 "SITTING" "tGravityAcc-std()-X" -0.970886422525252
22 "STANDING" "tGravityAcc-std()-X" -0.938572531056911
23 "STANDING" "tGravityAcc-std()-X" -0.964393040295699
25 "STANDING" "tGravityAcc-std()-X" -0.950017091344743
26 "STANDING" "tGravityAcc-std()-X" -0.96781789994898
27 "STANDING" "tGravityAcc-std()-X" -0.985853734871795
27 "LAYING" "tGravityAcc-std()-X" -0.971679845234899
28 "LAYING" "tGravityAcc-std()-X" -0.973873328062827
29 "LAYING" "tGravityAcc-std()-X" -0.973282885843023
30 "LAYING" "tGravityAcc-std()-X" -0.974319118563969
2 "WALKING" "tGravityAcc-std()-X" -0.963015508245033
4 "WALKING" "tGravityAcc-std()-X" -0.967576704329897
4 "WALKING_UPSTAIRS" "tGravityAcc-std()-X" -0.954845868211382
